Year,Artist,Song,CompressedRatio
2014,schoolboy q featuring bj the chicago kid,studio,70.713
1989,new kids on the block,cover girl,70.714
1980,queen,crazy little thing called love,70.722
1990,the time,jerk out,70.724
2005,gwen stefani featuring eve,rich girl,70.727
2012,owl city and carly rae jepsen,good time,70.732
1976,captain  tennille,shop around,70.74
1977,leo sayer,you make me feel like dancing,70.746
2010,jay sean featuring sean paul and lil jon,do you remember,70.746
1990,roxette,dangerous,70.748
2013,lil wayne featuring drake and future,love me,70.748
2015,ellie goulding,love me like you do,70.757
1983,little river band,the other guy,70.758
1965,we five,you were on my mind,70.779
1981,air supply,the one that you love,70.779
2002,fat joe featuring ashanti,whats luv,70.782
2005,mario,let me love you,70.787
2007,alicia keys,no one,70.79
2008,alicia keys,no one,70.79
2008,young jeezy featuring kanye west,put on,70.801
1993,4 non blondes,whats up,70.805
2004,kevin lyttle,turn me on,70.814
1968,the beatles,hey jude,70.819
2001,r kelly,i wish,70.824
1999,backstreet boys,all i have to give,70.833
2007,ciara,like a boy,70.841
1987,bill medley and jennifer warnes,ive had the time of my life,70.844
1986,robert palmer,addicted to love,70.846
1994,ace of base,the sign,70.849
1995,20 fingers featuring gillette,short dick man,70.852
1969,the archies,sugar sugar,70.854
1976,diana ross,love hangover,70.857
1986,thompson twins,king for a day,70.859
1986,genesis,invisible touch,70.861
2005,3 doors down,let me go,70.861
1989,eddie money,walk on water,70.874
1999,jordan knight,give it to you,70.874
1969,dionne warwick,this girls in love with you,70.879
2010,lady gaga,alejandro,70.882
1988,pet shop boys with dusty springfield,what have i done to deserve this,70.889
1991,cc music factory,here we go,70.893
1985,jermaine jackson,do what you do,70.896
2015,the weeknd,earned it,70.903
1999,lenny kravitz,fly away,70.909
2005,bow wow featuring ciara,like you,70.923
2007,50 cent featuring justin timberlake and timbaland,ayo technology,70.927
1990,bell biv devoe,do me,70.942
2001,ja rule featuring lil mo and vita,put it on me,70.949
1983,don henley,dirty laundry,70.953
1981,boz scaggs,miss sun,70.954
1999,112 featuring lil zane,anywhere,70.962
1982,olivia newtonjohn,make a move on me,70.98
2013,drake,started from the bottom,70.989
2010,drake,find your love,70.99
1969,the isley brothers,its your thing,71.004
2004,sean paul featuring sasha,im still in love with you,71.017
2011,keri hilson,pretty girl rock,71.017
2012,keha,die young,71.018
2013,kesha,die young,71.018
2001,jessica andrews,who i am,71.019
1993,rod stewart,have i told you lately,71.041
2003,uncle kracker featuring dobie gray,drift away,71.045
1976,tavares,heaven must be missing an angel,71.071
1974,carly simon  james taylor,mockingbird,71.094
2010,nelly,just a dream,71.12
2011,nelly,just a dream,71.12
2005,fantasia,truth is,71.121
1977,queen,somebody to love,71.122
1982,the cars,shake it up,71.127
2011,chris brown,she aint you,71.129
1984,duran duran,union of the snake,71.138
2010,adam lambert,whataya want from me,71.141
2008,plies featuring akon,hypnotized,71.15
1976,rufus,sweet thing,71.154
1987,bananarama,i heard a rumour,71.16
2001,city high,what would you do,71.167
2001,112,its over now,71.175
1980,ambrosia,biggest part of me,71.182
1989,bobby brown,every little step,71.182
2004,juvenile featuring soulja slim,slow motion,71.184
1967,the turtles,happy together,71.186
1983,men at work,down under,71.186
1985,teena marie,lovergirl,71.186
2015,drake,hotline bling,71.194
2009,3oh3,dont trust me,71.198
1966,bob dylan,rainy day women 12  35,71.2
1985,madonna,material girl,71.212
2014,meghan trainor,all about that bass,71.212
2015,meghan trainor,all about that bass,71.212
2015,charlie puth featuring meghan trainor,marvin gaye,71.229
1983,toto,i wont hold you back,71.233
2003,jaheim,put that woman first,71.233
2014,pitbull featuring kesha,timber,71.247
2000,debelah morgan,dance with me,71.254
2001,debelah morgan,dance with me,71.254
1996,celine dion,because you loved me,71.256
1982,stevie wonder,that girl,71.262
2012,j cole,work out,71.263
1967,the happenings,i got rhythm,71.277
1992,michael jackson,remember the time,71.279
2013,kelly clarkson,catch my breath,71.279
2006,danity kane featuring yung joc,show stopper,71.28
2015,fall out boy,uma thurman,71.293
1999,mark chesnutt,i dont want to miss a thing,71.296
1978,bee gees,stayin alive,71.299
2009,neyo,mad,71.3
2014,katy perry,birthday,71.307
2013,bruno mars,locked out of heaven,71.333
1998,wyclef jean,gone till november,71.339
1990,faith no more,epic,71.34
1996,mariah carey,always be my baby,71.343
1995,tlc,red light special,71.354
2009,pitbull,i know you want me calle ocho,71.377
1975,elton john,philadelphia freedom,71.388
2004,petey pablo,freekaleek,71.392
2011,lil wayne featuring drake,she will,71.41
1970,white plains,my baby loves lovin,71.429
1983,air supply,making love out of nothing at all,71.429
1991,cc music factory,gonna make you sweat everybody dance now,71.429
1993,bobby brown,good enough,71.429
1998,brandy and monica,the boy is mine,71.429
2005,sean paul,we be burnin,71.429
2006,sean paul,we be burnin,71.429
1983,bonnie tyler,total eclipse of the heart,71.459
1994,jon secada,if you go,71.474
2013,selena gomez,come  get it,71.475
1973,the ojays,love train,71.479
2006,taylor hicks,do i make you proud,71.479
1974,paul anka,youre having my baby,71.491
2003,ginuwine featuring baby,hell yeah,71.492
1989,38 special,second chance,71.508
2002,aaliyah,more than a woman,71.513
1995,blackstreet,before i let you go,71.526
1995,hootie  the blowfish,hold my hand,71.547
1985,madonna,dress you up,71.552
1991,luther vandross,power of lovelove power,71.558
1997,monica,for you i will,71.571
1983,daryl hall  john oates,family man,71.585
1967,the who,i can see for miles,71.591
1980,billy preston and syreeta,with you im born again,71.591
2007,hurricane chris,a bay bay,71.595
1994,bryan adams rod stewart and sting,all for love,71.598
2000,kevon edmonds,247,71.602
1973,bloodstone,natural high,71.605
1970,the jackson 5,i want you back,71.618
2001,shaggy,angel,71.628
2007,paula deanda featuring the dey,walk away remember me,71.644
1995,janet jackson,you want this,71.652
1989,donny osmond,soldier of love,71.654
2012,calvin harris,feel so close,71.654
1980,air supply,lost in love,71.685
1991,lenny kravitz,it aint over til its over,71.705
1965,jewel akens,the birds and the bees,71.707
1989,guns n roses,paradise city,71.724
2001,matchbox twenty,if youre gone,71.726
1988,pet shop boys,always on my mind,71.73
1995,bryan adams,have you ever really loved a woman,71.739
1984,the pointer sisters,im so excited,71.753
1998,destinys child,no no no,71.786
2000,jagged edge,lets get married,71.789
2004,usher,burn,71.791
1980,the brothers johnson,stomp,71.802
2005,jennifer lopez,get right,71.807
1989,bad english,when i see you smile,71.818
1986,bon jovi,you give love a bad name,71.831
2006,mariah carey,dont forget about us,71.839
2007,avril lavigne,keep holding on,71.839
2014,florida georgia line,dirt,71.842
1992,george michael,too funky,71.875
1996,toni braxton,unbreak my heart,71.875
1997,toni braxton,unbreak my heart,71.875
1985,aretha franklin,whos zoomin who,71.891
2009,nickelback,gotta be somebody,71.899
2000,toni braxton,he wasnt man enough,71.919
2004,cassidy featuring r kelly,hotel,71.927
1971,the jackson 5,mamas pearl,71.93
1987,debbie gibson,only in my dreams,71.93
1998,xscape,the arms of the one who loves you,71.93
2013,phillip phillips,gone gone gone,71.93
1970,the guess who,american woman,71.935
1973,timmy thomas,why cant we live together,71.951
1980,smokey robinson,cruisin,71.955
1997,aqua,barbie girl,71.958
1980,shalamar,the second time around,71.965
1989,the b52s,love shack,71.973
1990,the b52s,love shack,71.973
1976,bee gees,fanny be tender with my love,71.975
1993,jeremy jordan,the right kind of love,71.979
2011,kanye west featuring rihanna,all of the lights,71.979
2011,rihanna featuring drake,whats my name,71.987
2006,justin timberlake featuring ti,my love,71.989
2007,justin timberlake featuring ti,my love,71.989
2011,pitbull featuring neyo afrojack and nayer,give me everything,71.993
1968,big brother and the holding company,piece of my heart,72
1984,wang chung,dance hall days,72
1995,melissa etheridge,like the way i do,72
1997,changing faces,ghettout,72
1978,linda ronstadt,its so easy,72.024
1975,pilot,magic,72.028
1997,seal,fly like an eagle,72.038
2004,akon featuring styles p,locked up,72.043
2007,gwen stefani featuring akon,the sweet escape,72.043
1999,cher,believe,72.054
2012,kelly clarkson,stronger what doesnt kill you,72.055
1990,after 7,cant stop,72.067
2006,panic at the disco,i write sins not tragedies,72.069
2008,mariah carey,touch my body,72.07
1966,the beach boys,sloop john b,72.078
1989,cher,if i could turn back time,72.08
1997,ray j,let it go,72.087
1974,stevie wonder,dont you worry bout a thing,72.093
1983,golden earring,twilight zone,72.093
2006,bubba sparxxx featuring ying yang twins,ms new booty,72.105
2005,david banner,play,72.115
1970,the sandpipers,come saturday morning,72.121
1991,scorpions,wind of change,72.121
2004,houston featuring chingy nate dogg and i20,i like that,72.129
1974,war,me and baby brother,72.131
1989,karyn white,secret rendezvous,72.139
1985,ashford  simpson,solid,72.143
1999,r kelly and celine dion,im your angel,72.146
2015,mark ronson featuring bruno mars,uptown funk,72.165
1997,hanson,mmmbop,72.188
1992,the heights,how do you talk to an angel,72.195
1993,the heights,how do you talk to an angel,72.195
1999,juvenile featuring mannie fresh and lil wayne,back that azz up,72.207
2010,the script,breakeven,72.208
2001,missy elliott,get ur freak on,72.212
1991,ub40,here i am come and take me,72.222
1992,charles  eddie,would i lie to you,72.222
1997,gina g,ooh aah just a little bit,72.222
2008,rihanna featuring neyo,hate that i love you,72.236
2010,ludacris,how low,72.254
2007,red hot chili peppers,snow hey oh,72.257
1989,breathe,how can i fall,72.258
1984,huey lewis and the news,i want a new drug,72.269
1992,color me badd,all 4 love,72.275
1971,george harrison,my sweet lord,72.285
1996,joe,all the things your man wont do,72.285
1999,tlc,no scrubs,72.285
1977,joe tex,aint gonna bump no more with no big fat woman,72.289
2014,disclosure featuring sam smith,latch,72.297
2003,m'ya,my love is likewo,72.3
1991,cathy dennis,just another dream,72.316
2011,wiz khalifa,black and yellow,72.317
1986,phil collins,take me home,72.321
2006,bon jovi featuring jennifer nettles,who says you cant go home,72.332
2010,jerrod niemann,lover lover,72.34
2008,saving abel,addicted,72.347
1977,peter frampton,im in you,72.353
2003,justin timberlake,cry me a river,72.353
2012,carly rae jepsen,call me maybe,72.358
1978,frankie valli,grease,72.372
1983,daryl hall  john oates,maneater,72.372
1965,the zombies,tell her no,72.376
1997,backstreet boys,quit playing games with my heart,72.381
1998,backstreet boys,quit playing games with my heart,72.381
2003,baby bash featuring frankie j,suga suga,72.383
2004,baby bash featuring frankie j,suga suga,72.383
2000,third eye blind,never let you go,72.384
2013,j cole featuring miguel,power trip,72.384
1990,taylor dayne,ill be your shelter,72.386
1993,janet jackson,if,72.394
1999,jt money featuring sole,who dat,72.396
1975,grand funk railroad,some kind of wonderful,72.404
2015,ella henderson,ghost,72.406
2005,destinys child featuring ti and lil wayne,soldier,72.407
2001,outkast,so fresh so clean,72.418
2006,kelis featuring too short,bossy,72.423
1992,jon secada,just another day,72.449
2013,taylor swift,i knew you were trouble,72.46
1987,whitesnake,here i go again,72.468
2012,usher,scream,72.475
1990,mc hammer,have you seen her,72.476
1989,madonna,cherish,72.477
1992,the cover girls,wishing on a star,72.477
1992,hammer,addams groove,72.477
2007,rihanna,shut up and drive,72.477
2009,beyonce,halo,72.482
2011,jeremih featuring 50 cent,down on me,72.482
1977,alan oday,undercover angel,72.485
1979,bee gees,too much heaven,72.485
1981,eddie rabbitt,step by step,72.5
2002,ashanti,foolish,72.5
1970,mungo jerry,in the summertime,72.506
1993,jon secada,do you believe in us,72.555
2015,demi lovato,cool for the summer,72.555
1968,the fireballs,bottle of wine,72.558
1985,eurythmics,would i lie to you,72.558
1988,taylor dayne,prove your love,72.561
2002,leann rimes,cant fight the moonlight,72.561
1986,timex social club,rumors,72.562
1970,robin mcnamara,lay a little lovin on me,72.571
2014,clean bandit featuring jess glynne,rather be,72.571
1980,charlie dore,pilot of the airwaves,72.575
2012,lee brice,hard to love,72.575
2011,lady gaga,born this way,72.59
1979,barbra streisand,the main eventfight,72.595
2005,destinys child,cater 2 u,72.595
2001,ricky martin and christina aguilera,nobody wants to be lonely,72.603
2015,david guetta featuring nicki minaj bebe rexha and afrojack,hey mama,72.603
1971,rare earth,i just want to celebrate,72.607
1987,the jets,you got it all,72.611
1988,michael jackson,man in the mirror,72.626
1979,cher,take me home,72.628
2003,r kelly,step in the name of love,72.63
2004,r kelly,step in the name of love,72.63
1994,collective soul,shine,72.632
1985,tina turner,private dancer,72.635
1989,alice cooper,poison,72.635
2015,omarion featuring chris brown and jhene aiko,post to be,72.659
1996,tracy chapman,give me one reason,72.664
1968,the cowsills,indian lake,72.669
1995,subway featuring 702,this lil game we play,72.669
1994,drs,gangsta lean,72.676
1988,new edition,if it isnt love,72.68
2007,huey,pop lock  drop it,72.692
2008,colby odonis featuring akon,what you got,72.698
1984,genesis,thats all,72.704
1987,madonna,causing a commotion,72.727
1990,wilson phillips,hold on,72.727
1999,ricky martin,shes all i ever had,72.727
2007,baby bash featuring tpain,cyclone,72.727
2008,baby bash featuring tpain,cyclone,72.727
2012,katy perry,part of me,72.727
2014,echosmith,cool kids,72.727
2010,bob featuring bruno mars,nothin on you,72.74
2007,diddy featuring keyshia cole,last night,72.746
1990,keith sweat,make you sweat,72.757
1996,deep blue something,breakfast at tiffanys,72.757
2014,ariana grande featuring iggy azalea,problem,72.761
1997,mark morrison,return of the mack,72.77
1974,mac davis,one hell of a woman,72.775
2009,iyaz,replay,72.802
2010,iyaz,replay,72.802
1979,electric light orchestra,dont bring me down,72.819
1996,tlc,diggin on you,72.829
1985,katrina and the waves,walking on sunshine,72.83
1983,donna summer,she works hard for the money,72.832
1971,bill withers,aint no sunshine,72.84
2013,jason derulo,the other side,72.846
1998,ace of base,cruel summer,72.848
2008,metro station,shake it,72.853
1971,bee gees,lonely days,72.857
2009,britney spears,3,72.857
2010,britney spears,3,72.857
2010,david guetta featuring akon,sexy bitch,72.871
2005,ludacris,get back,72.881
1990,phil collins,something happened on the way to heaven,72.9
2003,ashanti,rain on me,72.907
1992,kris kross,warm it up,72.926
1979,anita ward,ring my bell,72.932
1979,john stewart,gold,72.937
2002,ashanti,happy,72.941
2004,ludacris,splash waterfalls,72.948
1996,mary j blige,not gon cry,72.957
1977,pablo cruise,whatcha gonna do,72.961
1987,whitney houston,i wanna dance with somebody who loves me,72.997
2006,nickelback,savin me,73
2009,the veronicas,untouched,73.002
1998,hanson,i will come to you,73.006
1981,delbert mcclinton,giving it up for your love,73.016
1977,manfred manns earth band,blinded by the light,73.026
2009,mariah carey,obsessed,73.028
1990,johnny gill,rub you the right way,73.043
2006,jibbs,chain hang low,73.046
2010,keha,take it off,73.05
2006,the black eyed peas,pump it,73.054
2001,destinys child,bootylicious,73.056
1969,the dells,oh what a night,73.059
1998,the verve,bitter sweet symphony,73.066
2004,kenny chesney featuring uncle kracker,when the sun goes down,73.066
1987,the jets,cross my broken heart,73.068
2005,baby bash featuring akon,baby im back,73.077
1984,matthew wilder,break my stride,73.088
1991,ralph tresvant,sensitivity,73.092
2007,mims,this is why im hot,73.095
1990,taylor dayne,with every beat of my heart,73.103
1993,duice,dazzey duks,73.103
1969,the doors,touch me,73.125
2009,mario featuring gucci mane and sean garrett,break up,73.128
1984,pointer sisters,jump for my love,73.13
1988,al b sure,nite and day,73.13
1985,phil collins,one more night,73.138
1970,the beatles,let it be,73.14
2007,r kelly featuring ti and tpain,im a flirt,73.143
2002,puddle of mudd,blurry,73.177
1970,neil diamond,cracklin rosie,73.179
2003,tyrese,how you gonna act like that,73.185
1971,cornelius brothers  sister rose,treat her like a lady,73.188
2009,jason derulo,whatcha say,73.188
2010,"jason der""ulo",whatcha say,73.188
1968,archie bell  the drells,tighten up,73.209
2008,jordin sparks and chris brown,no air,73.21
1969,the beatles with billy preston,get back,73.214
2007,beyonce,irreplaceable,73.228
2008,colbie caillat,realize,73.234
1970,free,all right now,73.235
1972,cornelius brothers  sister rose,too late to turn back now,73.235
1999,britney spears,sometimes,73.235
2007,ciara,promise,73.245
1967,aretha franklin,respect,73.248
2011,luke bryan,country girl shake it for me,73.253
2009,jamie foxx featuring tpain,blame it,73.254
2006,jojo,too little too late,73.256
1999,faith evans,love like this,73.262
2006,neyo,sexy love,73.262
1975,average white band,cut the cake,73.267
2000,destinys child,independent women,73.286
2001,destinys child,independent women,73.286
2004,ll cool j,headsprung,73.289
1988,van halen,when its love,73.29
1999,jayz featuring amil and ja rule,can i get a,73.301
2014,yg featuring jeezy and rich homie quan,my hitta,73.304
1975,bj thomas,hey wont you play another somebody done somebody wrong song,73.333
1989,dino,i like it,73.333
2009,jordin sparks,battlefield,73.333
2013,pink,try,73.333
2005,112 featuring foxy brown,u already know,73.349
2000,lfo,girl on tv,73.356
2005,the black eyed peas,my humps,73.365
2006,the black eyed peas,my humps,73.365
1998,janet,together again,73.366
2004,avril lavigne,my happy ending,73.385
1977,heatwave,boogie nights,73.387
2005,papa roach,scars,73.389
2011,miguel,sure thing,73.389
1965,bobby goldsboro,little things,73.399
1978,jefferson starship,count on me,73.399
2007,robin thicke,lost without u,73.407
1989,bon jovi,lay your hands on me,73.409
1993,tony toni tone,anniversary,73.41
1983,eddy grant,electric avenue,73.418
2014,lady gaga featuring r kelly,do what u want,73.42
1986,the human league,human,73.427
2006,fergie,london bridge,73.431
1974,barry white,never never gonna give you up,73.441
1972,t rex,get it on,73.448
2005,the black eyed peas,dont phunk with my heart,73.462
2000,savage garden,i knew i loved you,73.476
1973,sweet,little willy,73.485
2011,avril lavigne,what the hell,73.491
1981,the police,de do do do de da da da,73.494
1993,haddaway,what is love,73.494
1994,haddaway,what is love,73.494
2015,taylor swift featuring kendrick lamar,bad blood,73.496
1998,aerosmith,i dont want to miss a thing,73.504
1972,climax,precious and few,73.514
1998,robyn,show me love,73.521
2011,wiz khalifa,roll up,73.525
2013,taylor swift,22,73.537
2015,rihanna,bitch better have my money,73.56
1983,debarge,all this love,73.569
1985,daryl hall  john oates,out of touch,73.574
1987,madonna,whos that girl,73.579
2001,tamia,stranger in my house,73.581
1999,lauryn hill,exfactor,73.585
2005,bobby valentino,slow down,73.593
2011,rihanna,cheers drink to that,73.594
2009,pitbull,hotel room service,73.597
2005,mariah carey,shake it off,73.611
1991,rem,shiny happy people,73.62
2012,chris brown,dont wake me up,73.626
1993,dj jazzy jeff  the fresh prince,boom shake the room,73.641
1986,miami sound machine,conga,73.668
1982,juice newton,loves been a little bit hard on me,73.684
2003,shania twain,forever and for always,73.684
2013,ariana grande featuring mac miller,the way,73.684
1971,brewer  shipley,one toke over the line,73.699
1993,snow,informer,73.705
1984,eurythmics,here comes the rain again,73.714
1965,the dave clark five,catch us if you can,73.723
2012,maroon 5,one more night,73.723
2013,maroon 5,one more night,73.723
2001,jagged edge,promise,73.731
1994,r kelly,bump n grind,73.761
1993,rod stewart,reason to believe,73.762
2000,joe,i wanna know,73.763
2009,sean kingston,fire burning,73.767
1985,chicago,youre the inspiration,73.77
1994,ahmad,back in the day,73.77
2002,nickelback,how you remind me,73.77
2010,"jason der""ulo",in my head,73.77
2015,meghan trainor,lips are movin,73.77
2015,kelly clarkson,heartbeat song,73.775
1979,instant funk,i got my mind made up you can get it girl,73.78
1997,mariah carey,honey,73.783
1990,roxette,it must have been love,73.786
2014,jason aldean,burnin it down,73.786
2001,edens crush,get over yourself,73.799
2014,enrique iglesias featuring descemer bueno and gente de zona,bailando,73.81
1986,whitney houston,how will i know,73.815
1983,christopher cross,all right,73.816
1990,go west,king of wishful thinking,73.824
1979,earth wind  fire,september,73.826
1991,divinyls,i touch myself,73.828
2011,cee lo green,fuck you,73.843
1987,expose,let me be the one,73.854
1999,destinys child,bills bills bills,73.862
2011,dev,in the dark,73.864
2012,jessie j,domino,73.869
2008,ray j featuring yung berg,sexy can i,73.872
1970,ike  tina turner,i want to take you higher,73.874
1983,men without hats,the safety dance,73.876
2006,rihanna,sos,73.883
2015,r city featuring adam levine,locked away,73.905
2001,jennifer lopez,love dont cost a thing,73.913
2002,faith evans,i love you,73.913
2007,chris brown featuring tpain,kiss kiss,73.913
2008,chris brown featuring tpain,kiss kiss,73.913
2009,colbie caillat,fallin for you,73.926
2011,big sean featuring chris brown,my last,73.937
2000,macy gray,i try,73.939
1972,the dramatics,in the rain,73.95
1997,new edition,im still in love with you,73.958
2003,chingy,right thurr,73.966
1985,new edition,cool it now,73.975
1983,spandau ballet,TRUE,73.981
1984,the jacksons,state of shock,73.981
2010,trey songz featuring nicki minaj,bottoms up,73.992
2011,trey songz featuring nicki minaj,bottoms up,73.992
2008,mary j blige,just fine,74.01
1995,gloria estefan,turn the beat around,74.018
1986,madonna,true blue,74.049
2004,r kelly,happy people,74.05
1984,lionel richie,all night long all night,74.065
1998,mase featuring total,what you want,74.069
1998,gerald levert,thinkin bout it,74.069
1978,steely dan,peg,74.074
2015,ot genasis,coco,74.085
1982,daryl hall  john oates,did it in a minute,74.121
2012,cher lloyd,want u back,74.123
2007,j holiday,bed,74.135
2009,cobra starship featuring leighton meester,good girls go bad,74.148
1997,702,get it together,74.157
2001,lenny kravitz,again,74.161
1996,keith sweat featuring athena cage,nobody,74.167
1997,keith sweat,nobody,74.167
1970,badfinger,come and get it,74.211
2005,jesse mccartney,beautiful soul,74.212
1979,donna summer,hot stuff,74.214
1999,britney spears,baby one more time,74.216
2015,james newton howard featuring jennifer lawrence,the hanging tree,74.222
2008,2 pistols featuring tpain and tay dizm,she got it,74.234
1977,steve miller band,fly like an eagle,74.242
2008,pink,so what,74.253
2009,pink,so what,74.253
2003,trapt,headstrong,74.277
2003,beyonce featuring jayz,crazy in love,74.293
2014,nico  vinz,am i wrong,74.293
1996,ace of base,beautiful life,74.3
1978,heatwave,the groove line,74.306
2015,andy grammer,honey im good,74.321
1982,joan jett and the blackhearts,i love rock n roll,74.328
1989,vanessa williams,dreamin,74.352
1981,barbra streisand  barry gibb,guilty,74.366
2001,nelly furtado,turn off the light,74.374
2002,nelly furtado,turn off the light,74.374
2008,rihanna,disturbia,74.375
2009,rihanna,disturbia,74.375
2008,katy perry,hot n cold,74.406
2009,katy perry,hot n cold,74.406
1974,the ojays,put your hands together,74.412
1980,michael jackson,off the wall,74.424
2004,beyonce,naughty girl,74.441
1985,glenn frey,the heat is on,74.46
1996,no mercy,where do you go,74.462
1997,no mercy,where do you go,74.462
1980,the manhattans,shining star,74.51
1989,janet jackson,miss you much,74.522
2003,sean paul,like glue,74.536
1994,janet jackson,because of love,74.545
1995,brandy,baby,74.55
2015,maroon 5,sugar,74.55
2001,toya,i do,74.56
2002,toya,i do,74.56
1976,johnnie taylor,disco lady,74.561
2014,bastille,pompeii,74.571
2009,the black eyed peas,boom boom pow,74.576
2003,3 doors down,when im gone,74.581
1980,kool  the gang,ladies night,74.582
2008,natasha bedingfield featuring sean kingston,love like this,74.586
2004,sheryl crow,the first cut is the deepest,74.59
1966,the beach boys,good vibrations,74.593
1979,gloria gaynor,i will survive,74.595
2000,sonique,it feels so good,74.608
2010,"jason der""ulo",ridin solo,74.614
2002,nelly featuring kelly rowland,dilemma,74.64
1965,ian whitcomb,you turn me on,74.648
2003,justin timberlake,rock your body,74.648
1977,shaun cassidy,da doo ron ron,74.667
1978,donna summer,last dance,74.667
2010,usher featuring plies,hey daddy daddys home,74.667
2009,beyonce,diva,74.671
2002,enrique iglesias,escape,74.675
1969,the guess who,laughing,74.689
1999,mariah carey featuring jayz,heartbreaker,74.693
1978,abba,the name of the game,74.707
1973,paul mccartney  wings,my love,74.713
2013,imagine dragons,radioactive,74.721
2014,imagine dragons,radioactive,74.721
1981,hall  oates,kiss on my list,74.734
1968,james brown,say it loud  im black and im proud,74.74
2007,fat joe featuring lil wayne,make it rain,74.747
1991,michael bolton,time love and tenderness,74.769
2009,rob thomas,her diamonds,74.779
2001,uncle kracker,follow me,74.783
1984,quiet riot,cum on feel the noize,74.797
2013,passenger,let her go,74.827
2014,passenger,let her go,74.827
2013,katy perry,roar,74.843
2014,katy perry,roar,74.843
1966,bobby fuller four,i fought the law,74.85
1969,three dog night,one,74.866
1991,paula abdul,rush rush,74.878
1996,quad city djs,cmon n ride it the train,74.878
1973,paul simon,loves me like a rock,74.899
2013,miley cyrus,we cant stop,74.901
1990,janet jackson,rhythm nation,74.933
1987,glenn medeiros,nothings gonna change my love for you,74.939
1982,melissa manchester,you should hear how she talks about you,74.942
2014,onerepublic,love runs out,74.943
1975,dwight twilley band,im on fire,75
1983,lionel richie,you are,75
1988,kylie minogue,the locomotion,75
1989,the bangles,eternal flame,75
2000,sammie,i like it,75
1977,10cc,the things we do for love,75.071
1984,cyndi lauper,girls just want to have fun,75.078
1998,kelly price featuring r kelly and ron isley,friend of mine,75.082
2011,mike posner,please dont go,75.085
2011,new boyz featuring the cataracs and dev,backseat,75.131
1984,deniece williams,lets hear it for the boy,75.143
1989,paula abdul,straight up,75.162
2015,skrillex and diplo featuring justin bieber,"where are ""u now",75.168
2003,aaliyah,come over,75.19
2014,zedd featuring hayley williams,stay the night,75.194
1987,billy idol,to be a lover,75.198
1995,brandy,best friend,75.208
2010,the black eyed peas,meet me halfway,75.221
2003,jennifer lopez featuring jadakiss and styles p,jenny from the block,75.223
2007,shop boyz,party like a rockstar,75.223
1976,john sebastian,welcome back,75.248
1993,madonna,deeper and deeper,75.254
2010,lady gaga featuring beyonce,telephone,75.254
1988,bobby brown,dont be cruel,75.255
1987,swing out sister,breakout,75.277
1999,backstreet boys,i want it that way,75.285
2001,willa ford,i wanna be bad,75.291
2004,destinys child,lose my breath,75.302
2005,destinys child,lose my breath,75.302
1998,next,i still love you,75.325
1972,mouth  macneal,how do you do,75.342
2010,taio cruz,dynamite,75.342
2011,taio cruz,dynamite,75.342
2000,faith hill,the way you love me,75.362
2001,faith hill,the way you love me,75.362
1978,andy gibb,shadow dancing,75.373
2002,avril lavigne,complicated,75.42
1988,chicago,i dont wanna live without your love,75.424
2013,anna kendrick,cups pitch perfects when im gone,75.424
2003,ginuwine,in those jeans,75.435
1991,whitney houston,im your baby tonight,75.456
1987,fleetwood mac,little lies,75.458
2010,selena gomez  the scene,naturally,75.479
2004,christina milian,dip it low,75.48
2009,britney spears,circus,75.481
1989,karyn white,the way you love me,75.483
2011,usher,more,75.485
2001,janet,someone to call my lover,75.499
1978,bee gees,how deep is your love,75.51
2015,ariana grande,one last time,75.51
1965,sir douglas quintet,shes about a mover,75.521
1995,seal,kiss from a rose,75.521
1990,aerosmith,what it takes,75.536
1975,bt express,do it til youre satisfied,75.546
1997,somethin for the people featuring trina  tamara,my love is the shhh,75.589
1998,somethin for the people featuring trina  tamara,my love is the shhh,75.589
1968,jose feliciano,light my fire,75.591
1995,raphael saadiq,ask of you,75.591
2013,rihanna,pour it up,75.598
1978,john paul young,love is in the air,75.6
1995,monica,dont take it personal just one of dem days,75.61
1999,n sync and gloria estefan,music of my heart,75.616
2009,jesse mccartney featuring ludacris,how do you sleep,75.62
2015,one direction,drag me down,75.622
2002,n sync featuring nelly,girlfriend,75.629
2010,sugarland,stuck like glue,75.634
1988,pebbles,girlfriend,75.639
1993,swv,weak,75.647
1970,simon  garfunkel,cecilia,75.648
1980,diana ross,upside down,75.685
1993,dino,ooh child,75.694
1990,paula abdul,its just the way that you love me,75.703
1989,roxette,the look,75.706
1994,swv,anything,75.706
2013,maroon 5,love somebody,75.714
2003,lil jon  the east side boyz featuring ying yang twins,get low,75.733
2004,lil jon  the east side boyz featuring ying yang twins,get low,75.733
2004,nelly featuring tim mcgraw,over and over,75.758
2005,nelly featuring tim mcgraw,over and over,75.758
2008,john mayer,say,75.758
1984,culture club,karma chameleon,75.776
1996,3t,anything,75.783
1974,gladys knight  the pips,on and on,75.8
2015,walk the moon,shut up and dance,75.802
1965,hermans hermits,wonderful world,75.806
1970,tee set,ma belle amie,75.806
1983,duran duran,hungry like the wolf,75.833
1978,abba,take a chance on me,75.882
1977,the sylvers,high school dance,75.89
2006,ti,why you wanna,75.902
1996,merril bainbridge,mouth,75.942
1997,merril bainbridge,mouth,75.942
2015,ariana grande and the weeknd,love me harder,75.949
2008,fergie,clumsy,75.955
